ID,YEAR,YEAR_OF_BIRTH,COUNTRY_OF_BIRTH,SAMPLE_RACE,SAMPLE_SEX,C1DOB_Y,HAVING_HEALTHPLAN,FAMSIZE_,TNFI_,POVSTATUS_,REGION_,MARSTAT_KEY_,WKSUEMP_PCY_,URBAN_RURAL_,JOBSNUM_,NUMCH_,AGE_1STCHILD,EVER_IN_POVERTY,WHEN_IN_POVERTY,INCOME_,INCOME_MAX,EVER_EDU_LOAN,EDU_DEGREE,EVER_DIVORCED_,EVER_UNEMPLOYED_,HOURS_WORKED_PER_WEEK_,MAJOR_1_,MAJOR_2_,EDU_MAJOR,AMT_EDU_LOAN_,TOTAL_EDU_LOAN,CAL_YEAR_JOBS_,NET_WORTH_,EMP_STATUS_,EDU_LOAN_
2,1990,59,IN OTHER COUNTRY,"NON-BLACK, NON-HISPANIC",FEMALE,1993,Yes,1,20100,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,2,0,34,Yes,ADULT ONLY,20000,25000,-4,High school diploma (or equivalent),No,No,-4,-4,-4,-4,-4,-4,2,2000,1: EMPLOYED,
3,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1981,Yes,5,28656,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,6,1: URBAN,9,3,19,Yes,ADULT ONLY,6000,42000,No,High school diploma (or equivalent),No,No,-4,-4,-4,1502,-4,-5,2,-20000,3: OUT OF LABOR FORCE,
4,1990,62,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1980,Yes,2,6992,1: IN POVERTY,1: NORTHEAST,3: 3  DIVORCED,30,1: URBAN,7,1,17,Yes,ADULT ONLY,0,35000,No,High school diploma (or equivalent),Yes,Yes,-4,514,-4,514,-4,2500,0,-6880,3: OUT OF LABOR FORCE,
6,1990,60,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1991,Yes,2,48000,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,10,0,30,No,NEVER,23000,105000,Yes,Bachelor of Science (BS),No,Yes,-4,414,-4,414,-4,6000,2,20600,1: EMPLOYED,
7,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1990,Yes,3,25090,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,0: RURAL,7,1,25,No,NEVER,0,32500,-4,High school diploma (or equivalent),No,No,55,506,-4,506,-4,1050,0,11600,4: IN ACTIVE FORCES,
8,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1976,Yes,4,24200,0: NOT IN POVERTY,1: NORTHEAST,2: 2  SEPARATED,0,1: URBAN,8,3,17,No,NEVER,17000,41999,-4,Associate/Junior College (AA),No,No,-4,-4,-4,502,-4,500,2,1800,1: EMPLOYED,
9,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1991,Yes,2,58000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,4,0,27,No,NEVER,30000,75000,No,Associate/Junior College (AA),No,No,-4,509,-4,506,-4,-4,2,841832,1: EMPLOYED,
10,1990,60,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1983,Yes,7,-2,-3,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,7,2,22,Yes,ADULT ONLY,4000,18000,-4,-5,No,Yes,-4,-4,-4,-4,-4,-5,1,5800,1: EMPLOYED,
11,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,Yes,1,71000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,-3,1: URBAN,10,0,No children yet,No,NEVER,74283,101653,Yes,-5,No,Yes,-4,1101,-4,1101,-4,7000,1,90000,1: EMPLOYED,
13,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1989,Yes,3,65000,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,3,1,30,Yes,ADULT ONLY,40000,60000,No,High school diploma (or equivalent),No,No,-4,500,-4,500,-4,-5,2,84000,1: EMPLOYED,
14,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,3,67560,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,10,1: URBAN,15,0,No children yet,No,NEVER,24000,116000,Yes,"Master's Degree (MA, MBA, MS, MSW)",No,Yes,44,2204,-4,2204,-4,12000,4,33900,1: EMPLOYED,
15,1990,64,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1997,No,4,87075,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,7,0,33,No,NEVER,0,38000,Yes,Bachelor of Arts Degree (BA),No,Yes,-4,2207,-4,2207,-4,8000,0,0,2: UNEMPLOYED,
16,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,3,72750,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,9,1,31,No,NEVER,36000,71000,No,High school diploma (or equivalent),No,Yes,-4,1402,-4,1402,-4,-4,2,63100,1: EMPLOYED,
17,1990,57,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,No children yet,No,2,-1,-3,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,9,0,No children yet,No,NEVER,32000,77000,No,High school diploma (or equivalent),No,No,7,2207,-4,2207,-4,-4,2,-400,1: EMPLOYED,
18,1990,58,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1977,Yes,5,146942,0: NOT IN POVERTY,4: WEST,1: 1  MARRIED,0,1: URBAN,4,3,19,No,NEVER,74283,236000,No,High school diploma (or equivalent),No,No,-4,-3,-4,-3,-4,1200,2,117343,1: EMPLOYED,
19,1990,57,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1987,Yes,2,7236,1: IN POVERTY,1: NORTHEAST,2: 2  SEPARATED,0,1: URBAN,10,1,29,Yes,ADULT ONLY,0,10000,No,High school diploma (or equivalent),Yes,No,-4,-4,-4,-4,-4,-4,0,-1000,3: OUT OF LABOR FORCE,
20,1990,59,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,1990,Yes,3,68600,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,10,1,30,No,NEVER,34000,115000,Yes,Bachelor of Science (BS),No,Yes,-4,501,-4,501,-4,-5,2,34400,1: EMPLOYED,
21,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,1,30000,0: NOT IN POVERTY,1: NORTHEAST,0: 0  NEVER MARRIED,0,1: URBAN,17,0,No children yet,No,NEVER,30000,343830,Yes,Bachelor of Arts Degree (BA),No,Yes,-4,506,-4,506,-4,-4,2,19750,1: EMPLOYED,
22,1990,63,IN THE US,"NON-BLACK, NON-HISPANIC",FEMALE,No children yet,Yes,2,54600,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,0: RURAL,19,0,No children yet,Yes,CHILD ONLY,15500,45600,Yes,Bachelor of Science (BS),No,Yes,-4,401,-4,401,-4,3400,2,52000,1: EMPLOYED,
24,1990,61,IN THE US,"NON-BLACK, NON-HISPANIC",MALE,1986,Yes,4,49200,0: NOT IN POVERTY,1: NORTHEAST,1: 1  MARRIED,0,1: URBAN,11,2,25,No,NEVER,30000,35000,No,High school diploma (or equivalent),No,Yes,-4,0,-4,0,-4,-5,2,22800,1: EMPLOYED,
